Pop,Sertanejo,Funk,Rock,Bandinha,Pisadinha,Eletrônica,Grime,K-Pop,Trap,Hip-Hop,House,Folk,MPB,Lo-Fi,Indie,Compas,Bossa Nova,Samba,Pagode,Gauchesca,Dubstep,Brega,Reggae,Metal,Reggaeton,Clássica,FPS,Mundo Aberto,Guerra,MOBA,Estratégia,Corrida,Battle Royale,Survival,Simulação,Esporte,Arcade,RPG,Plataforma,Vestir,Cartas,Tabuleiro,Luta,Azar,MMORPG,Puzzle,Hack and slash,Rítmico,Point and click,Furtivo,Realidade Virtual,Nome
0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Centro 0
1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Centro 1
0.7,1.0,0.7,0.8,1.0,0.5,1.0,0.0,0.0,0.3,0.5,0.3,0.2,0.3,0.0,0.2,0.0,0.2,0.5,0.8,1.0,0.3,0.0,0.2,0.2,1.0,0.2,1.0,0.8,0.8,0.2,0.7,0.8,1.0,0.5,0.7,0.8,0.5,0.0,0.0,0.0,0.5,0.5,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.2,0.2,Centro 2
1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,Centro 3
0.7,0.7,0.0,1.0,0.3,0.0,1.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.3,0.3,1.0,1.0,1.0,0.3,0.0,1.0,0.3,1.0,0.3,1.0,0.3,0.3,0.0,0.0,0.7,0.3,1.0,0.7,0.0,0.0,0.0,0.0,0.3,0.3,0.0,Centro 4
1.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Centro 5
0.7,0.2,0.0,1.0,0.8,0.0,0.5,0.0,0.0,0.2,0.2,0.3,0.3,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.8,0.2,0.7,0.8,0.8,0.5,0.0,0.7,0.3,0.3,0.8,0.8,0.2,0.7,1.0,0.7,0.0,0.2,0.2,0.3,0.0,0.2,0.8,0.5,0.0,0.3,0.0,0.0,Centro 6
1.0,0.3,1.0,1.0,0.7,0.3,0.3,0.0,0.0,0.3,0.7,0.0,0.3,0.7,0.7,1.0,0.0,0.7,1.0,1.0,0.3,0.0,0.0,0.7,0.3,0.0,0.3,1.0,1.0,0.3,0.3,0.7,0.0,0.0,1.0,0.3,0.0,0.3,0.7,0.3,0.0,0.7,0.7,0.0,0.0,0.3,0.7,0.3,0.3,0.0,0.3,0.0,Centro 7
1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,Centro 8
1.0,0.2,0.2,1.0,0.5,0.0,1.0,0.0,0.2,0.5,0.8,0.0,0.8,1.0,0.8,0.8,0.0,0.5,0.8,0.8,0.8,0.2,0.2,0.8,0.8,0.5,1.0,1.0,1.0,0.8,0.5,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.8,0.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.8,0.2,Centro 9
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Centro 10
1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,Centro 11
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,Centro 12
1.0,1.0,1.0,0.5,0.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centro 13
